시도,시군구코드,시군구명,위도,경도,축척,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표,매핑코드,상태,자치구구분,지진해일발생분류,지진구역
11,110,종로구,37.59433378,126.97765571,25000,126.94933907,37.56587807,127.02335194,37.63226756,11110,Y,Y,,1
11,140,중구,37.56007568,126.99586492,25000,126.9614682,37.54379369,127.02675706,37.57192714,11140,Y,Y,,1
11,170,용산구,37.53245831,126.98015539,25000,126.94355564,37.51202417,127.02090914,37.55536619,11170,Y,Y,,1
11,200,성동구,37.55126915,127.04124615,25000,127.00832138,37.52908432,127.07368215,37.57300471,11200,Y,Y,,1
11,215,광진구,37.54654772,127.08660732,25000,127.05655075,37.52355909,127.11388068,37.57354357,11215,Y,Y,,1
11,230,동대문구,37.58191876,127.05518844,25000,127.0231438,37.56002955,127.07862813,37.60689946,11230,Y,Y,,1
11,260,중랑구,37.59797735,127.09298455,25000,127.06940249,37.56954308,127.11835749,37.62081714,11260,Y,Y,,1
11,290,성북구,37.60583438,127.01801344,25000,126.97505785,37.57747674,127.07172771,37.63654677,11290,Y,Y,,1
11,305,강북구,37.64350525,127.01107336,25000,126.9794304,37.60912169,127.04996888,37.68520835,11305,Y,Y,,1
11,320,도봉구,37.66914758,127.03236744,25000,127.00794531,37.63126195,127.05587455,37.7013645,11320,Y,Y,,1
11,350,노원구,37.65207171,127.07524951,25000,127.04146352,37.61410286,127.11236644,37.69636689,11350,Y,Y,,1
11,380,은평구,37.6198502,126.92882423,25000,126.88222528,37.57589986,126.97217721,37.65896966,11380,Y,Y,,1
11,410,서대문구,37.57746314,126.93899454,25000,126.90159237,37.55508471,126.96957684,37.60830216,11410,Y,Y,,1
11,440,마포구,37.55823005,126.90986351,25000,126.8573994,37.52940106,126.96392952,37.59091812,11440,Y,Y,,1
11,470,양천구,37.52479222,126.85628238,25000,126.82152247,37.49994307,126.89161954,37.55137066,11470,Y,Y,,1
11,500,강서구,37.56108124,126.82450852,25000,126.76426411,37.52651795,126.88973968,37.6046408,11500,Y,Y,,1
11,530,구로구,37.49455096,126.85681106,25000,126.81265534,37.47378476,126.90321337,37.51675328,11530,Y,Y,,1
